question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please answer the following questions regarding your tobacco, alcohol and drug habits.	0	2		
radio	Altogether, have you smoked at least 100 or more cigarettes in your entire lifetime?	1	3	Yes,No	1,2
radio	How long have you smoked (cumulatively)?	1	3	Less than a year,1 year,2 years, 3 years,4 years,5-10 years,More than 10 years,I don't smoke	1,2,3,4,5,6,7,0
radio	Do you now smoke cigarettes every day, some days or not at all?	1	3	Every day,Some days,Not at all,I don't smoke	3,2,1,0
radio	On average, how many cigarettes do you now smoke a day (1 pack = 20 cigarettes)?	1	3	Less than a cigarette a day,<5,5-10,10-20,1 pack,2 packs,More than 2 packs,I don't smoke	1,2,3,4,5,6,7,0
radio	How soon after you wake up do you smoke your first cigarette?	1	3	Within 5 minutes,6-30 minutes,31-60 minutes,After 60 minutes,Don't know,I don't smoke	1,2,3,4,5,0
checkbox	In the past 30 days, what tobacco products OTHER THAN cigarettes have you used (check all that apply)?	1	3	Chewing tobacco (dip),Cigars,Pipe,Tobacco for your nose (snuff),E-cigarettes,E-hookah or vape pens,Cigarillos or little cigars,Don't Know,I don't smoke	1,2,3,4,5,6,7,8,0
radio	How often do you have a drink containing alcohol?	1	4	Never,Monthly or less,2 to 4 times a month,2 to 3 times a week,4 or more times a week	1,2,3,4,5
radio	How many drinks containing alcohol do you have on a typical day when you are drinking?	1	4	1 or 2,3 or 4,5 or 6,7 8 or 9,10 or more	1,2,3,4,5
radio	How often do you have six or more drinks on one occasion?	1	4	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	How often during the last year have you found that you were not able to stop drinking once you had started?	1	4	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	How often during the last year have you failed to do what was normally expected from you because of drinking?	1	4	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	How often during the last year have you needed a first drink in the morning to get yourself going after a heavy drinking session?	1	4	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	How often during the last year have you had a feeling of guilt or remorse after drinking?	1	4	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	How often during the last year have you been unable to remember what happened the night before because you had been drinking?	1	4	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	Have you or someone else been injured as a result of your drinking?	1	4	No,Yes but not in the last year,Yes during the last year,I don't drink	1,2,3,0
radio	Has a relative or friend or a doctor or another health worker been concerned about your drinking or suggested you cut down?	1	4	No,Yes but not in the last year,Yes during the last year,I don't drink	1,2,3,0
radio	 Have you used any cannabis over the past 6 months?	1	5	Yes, No	1,0
instruction	<h5>If yes...</h5>	0	5		
radio	How often do you use cannabis?	0	5	Never, Less than monthly, Monthly, Weekly, Daily or almost daily	0,1,2,3,4
radio	"How many hours were you ‘stoned’ on
a typical day when you had been using
Cannabis?"	0	5	Less than 1, 1 or 2, 3 or 4, 5 or 6, 7 or more	0,1,2,3,4
radio	How often during the past six months did you find that you were not able to stop using cannabis once you had started?	0	5	Never, Less than monthly, Monthly, Weekly, Daily or almost daily	0,1,2,3,4
radio	How often during the past six months did you fail to do what was normally expected from you because of using cannabis?	0	5	Never, Less than monthly, Monthly, Weekly, Daily or almost daily	0,1,2,3,4
radio	How often in the past six months have you devoted a great deal of your time to getting, using, or recovering from cannabis?	0	5	Never, Less than monthly, Monthly, Weekly, Daily or almost daily	0,1,2,3,4
radio	How often in the past six months have you had a problem with your memory or concentration after using cannabis?	0	5	Never, Less than monthly, Monthly, Weekly, Daily or almost daily	0,1,2,3,4
radio	How often do you use cannabis in situations that could be physically hazardous, such as driving, operating machinery, or caring for children?	0	5	Never, Less than monthly, Monthly, Weekly, Daily or almost daily	0,1,2,3,4
radio	Have you ever thought about cutting down, or stopping, your use of cannabis?	0	5	Never, Yes but not in the past 6 months, Yes during the past 6 months	0,2,4
instruction	<h5>Below is a list of questions concerning information about your potential involvement with drugs, excluding alcohol, marijuana and tobacco, during the past 12 months.<br><br>When the words “drug abuse” are used, they mean the use of prescribed or over‐the‐counter medications/drugs in excess of the directions and any non‐medical use of drugs. The various classes of drugs may include: solvents, tranquilizers (e.g., Valium), barbiturates, cocaine, stimulants (e.g., speed), hallucinogens (e.g., LSD) or narcotics (e.g., heroin).<br><br> <u>Remember that the questions do not include alcohol, marijuana or tobacco.</u></h5>	1	6		
radio	Have you used drugs other than those required for medical reasons?	1	6	No, Yes	0, 1
radio	Do you abuse more than one drug at a time?	1	6	No, Yes	0, 1
radio	"Are you always able to stop using drugs when you want to? (If never use
drugs, answer “Yes.” )"	1	6	No, Yes	0, 1
radio	"Have you had ""blackouts"" or ""flashbacks"" as a result of drug use?"	1	6	No, Yes	0, 1
radio	"Do you ever feel bad or guilty about your drug use? If never use drugs,
choose “No.”"	1	6	No, Yes	0, 1
radio	"Does your spouse (or parents) ever complain about your involvement
with drugs?"	1	6	No, Yes	0, 1
radio	Have you neglected your family because of your use of drugs?	1	6	No, Yes	0, 1
radio	Have you engaged in illegal activities in order to obtain drugs?	1	6	No, Yes	0, 1
radio	"Have you ever experienced withdrawal symptoms (felt sick) when you
stopped taking drugs?"	1	6	No, Yes	0, 1
radio	"Have you had medical problems as a result of your drug use (e.g.,
memory loss, hepatitis, convulsions, bleeding, etc.)?"	1	6	No, Yes	0, 1
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	7		
