question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1			
instruction	Please answer the following questions. During the PAST TWO WEEKS: 	0	2			
instruction	During the PAST TWO WEEKS: 	0	3			
radio	"… if you attend school, has your school building been closed?"	1	3	"No, Yes, Not available "	"0,1,2"	CRISIS_Q30
instruction	<h5>If your school building has NOT been closed:</h5>	0	3			
radio	Are classes in session ? 	0	3	"Yes,No"	"1,0"	CRISIS_Q30a
radio	Are you atteding classes in-person? 	0	3	"Yes,No"	"1,0"	CRISIS_Q30b
instruction	<h5>If your school building has BEEN CLOSED...</h5>	0	3			
radio	Have classes resumed online? 	0	3	"Yes,No"	"1,0"	CRISIS_Q30c
radio	Do you have easy access to the internet and a computer?	0	3	"Yes,No"	"1,0"	CRISIS_Q30d
radio	Are there assignments for you to complete? 	0	3	"Yes,No"	"1,0"	CRISIS_Q30e
radio	Are you able to receive meals from the school? 	0	3	"Yes,No"	"1,0"	CRISIS_Q30f
instruction	During the PAST TWO WEEKS: 	0	4			
radio	"… if you had a job prior to Coronavirus/COVID-19, are you still working?"	1	4	"No, Yes, Not available "	"0,1,2"	CRISIS_Q31
instruction	"<h5>If you had a job prior to Coronavirus/COVID-19, and you are STILL WORKING...</h5>"	0	4			
radio	Are you still going to your workplace? 	0	4	"Yes, No"	"1,0"	CRISIS_Q31a
radio	Are you teleworking or working from home? 	0	4	"Yes, No"	"1,0"	CRISIS_Q31b
instruction	"<h5>If you had a job prior to Coronavirus/COVID-19, but you are NOT WORKING...</h5>"	0	4			
radio	Were you laid off from your job? 	0	4	"Yes, No"	"1,0"	CRISIS_Q31c
radio	Do you lose your job? 	0	4	"Yes, No"	"1,0"	CRISIS_Q31d
instruction	During the PAST TWO WEEKS: 	0	5			
numeric	"… how many people, from outside of your household, have you had an in-person conversation with? "	1	5			CRISIS_Q32
radio	"… how much time have you spent going outside of the home (e.g., going to stores, parks, etc.)?"	1	5	"Not at all, 1-2 days per week, A few days per week, Several days per week, Every day"	"0,1,2,3,4"	CRISIS_Q33
radio	… how stressful have the restrictions on leaving home been for you?	1	5	"Not at all, Slighlty, Moderately, Very, Extremely"	"0,1,2,3,4"	CRISIS_Q34
radio	… have your contacts with people outside of your home changed relative to before the Coronavirus/COVID-19 crisis in your area?	1	5	"A lot less, A little less, About the same, A little more, A lot more "	"0,1,2,3,4"	CRISIS_Q35
radio	… how much difficulty have you had following the recommendations for keeping away from close contact with people?	1	5	"None, A little, Moderate, A lot , A great amount "	"0,1,2,3,4"	CRISIS_Q36
radio	… has the quality of the relationships between you and members of your family changed? 	1	5	"A lot worse, A little worse, About the same, A little better, A lot better"	"0,1,2,3,4"	CRISIS_Q37
radio	… how stressful have these changes in family contacts been for you?	1	5	"Not at all, Slightly, Moderately, Very, Extremely"	"0,1,2,3,4"	CRISIS_Q38
instruction	During the PAST TWO WEEKS: 	0	6			
radio	… has the quality of your relationships with your friends changed?	1	6	"A lot worse, A little worse, About the same, A little better, A lot better"	"0,1,2,3,4"	CRISIS_Q39
radio	… how stressful have these changes in social contacts been for you?	1	6	"Not at all, Slightly, Moderately, Very, Extremely"	"0,1,2,3,4"	CRISIS_Q40
radio	"… how much has cancellation of important events (such as graduation, prom, vacation, etc.) in your life been difficult for you?"	1	6	"Not at all, Slightly, Moderately, Very, Extremely"	"0,1,2,3,4"	CRISIS_Q41
radio	… to what degree have changes related to the Coronavirus/COVID-19 crisis in your area created financial problems for you or your family?	1	6	"Not at all, Slightly, Moderately, Very, Extremely"	"0,1,2,3,4"	CRISIS_Q42
radio	… to what degree are you concerned about the stability of your living situation?	1	6	"Not at all, Slightly, Moderately, Very, Extremely"	"0,1,2,3,4"	CRISIS_Q43
radio	… did you worry whether your food would run out because of a lack of money?	1	6	"Yes, No"	"1,0"	CRISIS_Q44
radio	How hopeful are you that the Coronavirus/COVID-19 crisis in your area will end soon?	1	6	"Not at all, Slightly, Moderately, Very, Extremely"	"0,1,2,3,4"	CRISIS_Q45
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	7			
