question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1			
instruction	Please read each statement and select the option which indicates how much the statement applied to you <strong>over the past week </strong>. There are no right or wrong answers. Do not spend too much time on any statement.	0	2			
radio	I found it hard to wind down.	1	3	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_01
radio	I was aware of dryness of my mouth.	1	3	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_02
radio	I couldn't seem to experience any positive feeling at all.	1	3	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_03
radio	"I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion). "	1	3	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_04
radio	I found it difficult to work up the initiative to do things.	1	3	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_05
radio	I tended to over-react to situations.	1	3	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_06
radio	I experienced trembling (e.g. in the hands).	1	3	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_07
radio	I felt that I was using a lot of nervous energy.	1	3	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_08
radio	I was worried about situations in which I might panic and make a fool of myself.	1	3	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_09
radio	I felt that I had nothing to look forward to.	1	3	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_10
radio	I found myself getting agitated.	1	4	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_11
radio	I found it difficult to relax.	1	4	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_12
radio	I felt down-hearted and blue.	1	4	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_13
radio	I was intolerant of anything that kept me from getting on with what I was doing.	1	4	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_14
radio	I felt I was close to panic.	1	4	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_15
radio	I was unable to become enthusiastic about anything.	1	4	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_16
radio	I felt I wasn't worth much as a person.	1	4	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_17
radio	I felt I was rather touchy.	1	4	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_18
radio	"I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat)."	1	4	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_19
radio	I felt scared without any good reason.	1	4	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_20
radio	I felt that life was meaningless.	1	4	"Did not apply to me at all, Applied to me to some degree or some of the time,  Applied to me to a considerable degree or good part of the time,  Applied to me very much or most of the time"	"0,1,2,3"	dass21_21
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	5			
