question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please answer the following questions regarding your demographics.	0	2
radio	What is your sex?	1	3	Male,Female,Choose not to respond	0,1,2
radio	What is your marital status?	1	3	Single,Married,Separated,Divorced,Widowed	0,1,2,3,4
number	If you've been divorced, how many times?	1	3	1,2,3,4,5,More	1,2,3,4,5,6
checkbox	What is your ethnic background?	1	3	American Indian or Alaska Native,Asian, Black or African American,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,White,Choose not to respond,Other	1,2,3,4,5,6,7,8
text	If you chose 'Other' for your ethnic background how would you describe it?	0	3		
radio	How many children do you have?	1	3	0,1,2,3,4,5-10,>10	1,2,3,4,5,6,7
numeric	How tall are you (in inches - one foot = 12 inches)?	1	3		
numeric	How much do you weigh?	1	3		
radio	How many traffic tickets have you gotten in the last year?	1	3	0,1,2,3,4,5-10,>10	1,2,3,4,5,6,7
radio	Altogether, have you smoked at least 100 or more cigarettes in your entire lifetime?	1	4	Yes,No	1,2
radio	How long have you smoked (cumulatively)?	1	4	Less than a year,1 year,2 years, 3 years,4 years,5-10 years,More than 10 years,I don't smoke	1,2,3,4,5,6,7,0
radio	Do you now smoke cigarettes every day, some days or not at all?	1	4	Every day,Some days,Not at all,I don't smoke	3,2,1,0
radio	On average, how many cigarettes do you now smoke a day (1 pack = 20 cigarettes)?	1	4	Less than a cigarette a day,<5,5-10,10-20,1 pack,2 packs,More than 2 packs,I don't smoke	1,2,3,4,5,6,7,0
radio	How soon after you wake up do you smoke your first cigarette?	1	4	Within 5 minutes,6-30 minutes,31-60 minutes,After 60 minutes,Don't know,I don't smoke	1,2,3,4,5,0
checkbox	In the past 30 days, what tobacco products OTHER THAN cigarettes have you used (check all that apply)?	1	4	Chewing tobacco (dip),Cigars,Pipe,Tobacco for your nose (snuff),E-cigarettes,E-hookah or vape pens,Cigarillos or little cigars,Don't Know,I don't smoke	1,2,3,4,5,6,7,8,0
radio	How often do you have a drink containing alcohol?	1	5	Never,Montly or less,2 to 4 times a month,2 to 3 times a week,4 or more times a week	1,2,3,4,5
radio	How many drinks containing alcohol do you have on a typical day when you are drinking?	1	5	1 or 2,3 or 4,5 or 6,7 8 or 9,10 or more	1,2,3,4,5
radio	How often do you have six or more drinks on one occasion?	1	5	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	How often during the last year have you found that you were not able to stop drinking once you had started?	1	5	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	How often during the last year have you failed to do what was normally expected from you because of drinking?	1	5	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	How often during the last year have you needed a first drink in the morning to get yourself going after a heavy drinking session?	1	5	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	How often during the last year have you had a feeling of guilt or remorse after drinking?	1	5	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	How often during the last year have you been unable to remember what happened the night before because you had been drinking?	1	5	Never,Less than monthly,Monthly,Weekly,Daily or almost daily	1,2,3,4,5
radio	Have you or someone else been injured as a result of your drinking?	1	5	No,Yes but not in the last year,Yes during the last year,I don't drink	1,2,3,0
radio	Has a relative or friend or a doctor or another health worker been concerned about your drinking or suggested you cut down?	1	5	No,Yes but not in the last year,Yes during the last year,I don't drink	1,2,3,0
radio	What is your daily caffeine intake (in mg)? (1 cup of regular coffee ~ 120 mg, 1 cup black tea ~ 50 mg, 1 cup green tea ~ 40 mg)	1	6	0 mg,<50 mg,50-100 mg,100-150 mg,150-200 mg,200-250 mg,>250 mg	1,2,3,4,5,6,7
radio	Do you have any chronic medical problems which continue to interfere with your life?	1	6	Yes,No	1,2
radio	Are you taking any prescribed medication on a regular basis for a physical problem?	1	6	Yes,No	1,2
radio	In addition to visits related to a chronic problem how often do you visit your doctor/have annual check ups in a year?	1	6	0,1,2,3,4,5-10,>10	1,2,3,4,5,6,7
radio	How many times in your life have you been arrested and/or charged with illigal activities?	1	6	0,1,2,3,4,5-10,>10	1,2,3,4,5,6,7
radio	Do you have a retirement account?	1	6	Yes,No	1,2
number	If you do have a retirement account what percent is in stocks?	0	6	<10%, 10-20%,20-30%,30-40%,40-50%,60-70%,70-80%,80-90%,>90%	1,2,3,4,5,6,7,8
radio	Do you have any debt (credit card or other)?	1	6	Yes,No	1,2
radio	If you have any debt how much (in dollars)?	0	6	<$500,$500-$2500,$2500-$10000,$10000-$25000,$25000-$50000,$50000-$100000,$100000-$200000,>$200000	1,2,3,4,5,6,7,8
radio	Do you own or the house you live in?	1	6	Yes,No	1,2
checkbox	What are you motivations for participating in this experiment?	1	6	money,tasks are fun,want to contribute to research,other	1,2,3,4
text	Please list other motivations.	1	6		
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	7
