question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in <strong>your assessment of how risky</strong> each situation or behavior is.<br><br>For each of the following statements, please indicate <strong>how risky you perceive</strong> each situation.	0	2		
radio	Admitting that your tastes are different from those of a friend.	1	3	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Going camping in the wilderness.	1	3	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Betting a day's income at the horse races.	1	3	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Investing 10% of your annual income in a moderate growth diversified fund.	1	3	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Drinking heavily at a social function.	1	3	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Taking some questionable deductions on your income tax return.	1	3	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Disagreeing with an authority figure on a major issue.	1	4	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Betting a day's income at a high-stake poker game.	1	4	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Having an affair with a married man/woman.	1	4	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Passing off somebody else’s work as your own.	1	4	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Going down a ski run that is beyond your ability.	1	4	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Investing 5% of your annual income in a very speculative stock.	1	4	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Going whitewater rafting at high water in the spring.	1	5	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Betting a day's income on the outcome of a sporting event.	1	5	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Engaging in unprotected sex.	1	5	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Revealing a friend's secret to someone else.	1	5	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Driving a car without wearing a seat belt.	1	5	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Investing 10% of your annual income in a new business venture.	1	5	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Taking a skydiving class.	1	6	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Riding a motorcycle without a helmet.	1	6	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Choosing a career that you truly enjoy over a more secure one.	1	6	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Speaking your mind about an unpopular issue in a meeting at work.	1	6	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Sunbathing without sunscreen.	1	6	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Bungee jumping off a tall bridge.	1	6	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Piloting a small plane.	1	7	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Walking home alone at night in an unsafe area of town.	1	7	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Moving to a city far away from your extended family.	1	7	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Starting a new career in your mid-thirties.	1	7	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Leaving your young children alone at home while running an errand.	1	7	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
radio	Not returning a wallet you found that contains $200.	1	7	Not at all risky,Slightly risky,Somewhat risky,Moderately risky,Risky,Very Risky,Extremely Risky	1,2,3,4,5,6,7
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	8		
