question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please answer the following questions about your eating habits.	0	2		
radio	When I smell a sizzling steak or juicy piece of meat, I find it very difficult to keep from eating, even if I have just finished a meal.	1	3	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	I deliberately take small helpings as a means of controlling my weight.	1	3	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	When I feel anxious, I find myself eating.	1	3	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	Sometimes when I start eating, I just can’t seem to stop.	1	3	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	Being with someone who is eating often makes me hungry enough to eat also.	1	3	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	When I feel blue, I often overeat.	1	3	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	When I see a real delicacy, I often get so hungry that I have to eat right away.	1	4	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	I get so hungry that my stomach often seems like a bottomless pit.	1	4	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	I am always hungry so it is hard for me to stop eating before I finish the food on my plate.	1	4	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	When I feel lonely, I console myself by eating.	1	4	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	I consciously hold back at meals in order not to weight gain.	1	4	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	I do not eat some foods because they make me fat.	1	4	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	I am always hungry enough to eat at any time.	1	5	Definitely true,mostly true,mostly false,definitely false	4,3,2,1
radio	How often do you feel hungry?	1	5	Only at meal times,sometimes between meals,often between meals,almost always	1,2,3,4
radio	How frequently do you avoid 'stocking up' on tempting foods?	1	5	Almost never,seldom,usually,almost always	1,2,3,4
radio	How likely are you to consciously eat less than you want?	1	5	Unlikely,slightly likely,moderately likely,very likely	1,2,3,4
radio	Do you go on eating binges though you are not hungry?	1	5	Never,rarely,sometimes,at least once a week	1,2,3,4
radio	On a scale of 1 to 8, where 1 means no restraint in eating (eating whatever you want whenever you want it) and 8 means total restraint (constantly limiting food intake and never 'giving in') what number would you give yourself?	1	5	1,2,3,4,5,6,7,8	1,1,2,2,3,3,4,4
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	6		
