question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please indicate to what degree you agree with each of the following statements.	0	2		
radio	When I want to feel more <i>positive</i> emotion (such as joy or amusement), I <i>change what I am thinking about.</i>	1	3	Strongly disagree,Mostly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Mostly agree,Strongly agree	1,2,3,4,5,6,7
radio	I keep my emotions to myself.	1	3	Strongly disagree,Mostly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Mostly agree,Strongly agree	1,2,3,4,5,6,7
radio	When I want to feel less <i>negative</i> emotion (such as sadness or anger), I <i>change what I am thinking about.</i>	1	3	Strongly disagree,Mostly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Mostly agree,Strongly agree	1,2,3,4,5,6,7
radio	When I am feeling <i>positive</i> emotions, I am careful not to express them.	1	3	Strongly disagree,Mostly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Mostly agree,Strongly agree	1,2,3,4,5,6,7
radio	When I am faced with a stressful situation, I make myself <i>think about it</i> in a way that helps me stay calm.	1	3	Strongly disagree,Mostly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Mostly agree,Strongly agree	1,2,3,4,5,6,7
radio	I control my emotions by not expressing them.	1	3	Strongly disagree,Mostly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Mostly agree,Strongly agree	1,2,3,4,5,6,7
radio	When I want to feel more <i>positive</i> emotion, I <i>change the way I am thinking</i> about the situation.	1	3	Strongly disagree,Mostly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Mostly agree,Strongly agree	1,2,3,4,5,6,7
radio	I control my emotions by <i>changing the way</i> I think about the situation I am in.	1	3	Strongly disagree,Mostly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Mostly agree,Strongly agree	1,2,3,4,5,6,7
radio	When I am feeling <i>negative</i> emotions, I make sure not to express them.	1	3	Strongly disagree,Mostly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Mostly agree,Strongly agree	1,2,3,4,5,6,7
radio	When I want to feel less <i>negative</i> emotion, I <i>change the way I am thinking</i> about the situation.	1	3	Strongly disagree,Mostly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Mostly agree,Strongly agree	1,2,3,4,5,6,7
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	4		
