question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please answer the following questions on your tendency to bring your complete attention to experiences occuring in the present moment.	0	2
radio	When I do things, my mind wanders off and I'm easily distracted. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I don't pay attention to what I'm doing because I'm daydreaming, worrying, or otherwise distracted. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I am easily distracted. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I find it difficult to stay focused on what's happening in the present. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	It seems I am "running on automatic" without much awareness of what I'm doing. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I rush through activities without being really attentive to them. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I do jobs or tasks automatically without being aware of what I'm doing. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I find myself doing things without paying attention. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	4
