question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please answer the following questions on your tendency to bring your complete attention to experiences occuring in the present moment.	0	2		
radio	When I’m walking, I deliberately notice the sensations of my body moving. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	1,2,3,4,5
radio	I’m good at finding words to describe my feelings. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	1,2,3,4,5
radio	I criticize myself for having irrational or inappropriate emotions. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I perceive my feelings and emotions without having to react to them. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	1,2,3,4,5
radio	When I do things, my mind wanders off and I’m easily distracted. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	When I take a shower or bath, I stay alert to the sensations of water on my body. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	1,2,3,4,5
radio	I can easily put my beliefs, opinions, and expectations into words. 	1	3	never or very rarely true,rarely true,sometimes true,often true,very often or always true	1,2,3,4,5
radio	I don’t pay attention to what I’m doing because I’m daydreaming, worrying, or otherwise distracted. 	1	4	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I watch my feelings without getting lost in them. 	1	4	never or very rarely true,rarely true,sometimes true,often true,very often or always true	1,2,3,4,5
radio	I tell myself I shouldn’t be feeling the way I’m feeling. 	1	4	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I notice how foods and drinks affect my thoughts, bodily sensations, and emotions. 	1	4	never or very rarely true,rarely true,sometimes true,often true,very often or always true	1,2,3,4,5
radio	It’s hard for me to find the words to describe what I’m thinking. 	1	4	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I am easily distracted. 	1	4	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I believe some of my thoughts are abnormal or bad and I shouldn’t think that way.	1	4	never or very rarely true,rarely true,sometimes true,often true,very often or always true	5,4,3,2,1
radio	I pay attention to sensations, such as the wind in my hair or sun on my face. 	1	4	never or very rarely true,rarely true,sometimes true,often true,very often or always true	1,2,3,4,5
