question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Read each item and answer the question: 'How true is this of you?'	0	2		
radio	Many opportunities await me in the future.	1	3	Very untrue: 1,2,3,4,5,6,Very true: 7	1,2,3,4,5,6,7
radio	I expect that I will set many new goals in the future.	1	3	Very untrue: 1,2,3,4,5,6,Very true: 7	1,2,3,4,5,6,7
radio	My future is filled with possibilities.	1	3	Very untrue: 1,2,3,4,5,6,Very true: 7	1,2,3,4,5,6,7
radio	Most of my life lies ahead of me.	1	3	Very untrue: 1,2,3,4,5,6,Very true: 7	1,2,3,4,5,6,7
radio	My future seems infinite to me.	1	3	Very untrue: 1,2,3,4,5,6,Very true: 7	1,2,3,4,5,6,7
radio	I could do anything I want in the future.	1	3	Very untrue: 1,2,3,4,5,6,Very true: 7	1,2,3,4,5,6,7
radio	There is plenty of time left in my life to make new plans.	1	3	Very untrue: 1,2,3,4,5,6,Very true: 7	1,2,3,4,5,6,7
radio	I have the sense that time is running out.	1	3	Very untrue: 1,2,3,4,5,6,Very true: 7	1,2,3,4,5,6,7
radio	There are only limited possibilities in my future.	1	3	Very untrue: 1,2,3,4,5,6,Very true: 7	1,2,3,4,5,6,7
radio	As I get older, I begin to experience time as limited.	1	3	Very untrue: 1,2,3,4,5,6,Very true: 7	1,2,3,4,5,6,7
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	4		
