question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1			
instruction	Please answer the following questions using the following scale: <br><br><ul list-text><li> Not at all </li><li> Several days</li><li> More than half the days</li><li> Nearly every day </li>	0	2			
instruction	"Over the last 2 weeks, how often have you been bothered by any of the following problems?"	0	3			
radio	"Feeling nervous, anxious or on edge?"	1	3	"Not at all,Several days,More than half the days,Nearly every day"	"1,2,3,4"	gad7_1
radio	Not being able to stop or control worrying?	1	3	"Not at all,Several days,More than half the days,Nearly every day"	"1,2,3,4"	gad7_2
radio	Worrying too much about different things?	1	3	"Not at all,Several days,More than half the days,Nearly every day"	"1,2,3,4"	gad7_3
radio	Trouble relaxing?	1	3	"Not at all,Several days,More than half the days,Nearly every day"	"1,2,3,4"	gad7_4
radio	Being so restless that it is hard to sit still?	1	3	"Not at all,Several days,More than half the days,Nearly every day"	"1,2,3,4"	gad7_5
radio	Becoming easily annoyed or irritable?	1	3	"Not at all,Several days,More than half the days,Nearly every day"	"1,2,3,4"	gad7_6
radio	Feeling afraid as if something awful might happen?	1	3	"Not at all,Several days,More than half the days,Nearly every day"	"1,2,3,4"	gad7_7
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	4			
