question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	In this experiment you will be presented with a series of lottery choices. Your job is to indicate which option you would prefer for each of the ten paired lottery choices.	0	2		
radio	Please indicate your preference between each of the pairs of gambles.	1	3	10% chance of $100 <br> 90% chance of $80,10% chance of $190 <br> 90% chance of $5	1,2
radio	Please indicate your preference between each of the pairs of gambles.	1	4	20% chance of $100 <br> 80% chance of $80,20% chance of $190 <br> 80% chance of $5	1,2
radio	Please indicate your preference between each of the pairs of gambles.	1	5	30% chance of $100 <br> 70% chance of $80,30% chance of $190 <br> 70% chance of $5	1,2
radio	Please indicate your preference between each of the pairs of gambles.	1	6	40% chance of $100 <br> 60% chance of $80,40% chance of $190 <br> 60% chance of $5	1,2
radio	Please indicate your preference between each of the pairs of gambles.	1	7	50% chance of $100 <br> 50% chance of $80,50% chance of $190 <br> 50% chance of $5	1,2
radio	Please indicate your preference between each of the pairs of gambles.	1	8	60% chance of $100 <br> 40% chance of $80,60% chance of $190 <br> 40% chance of $5	1,2
radio	Please indicate your preference between each of the pairs of gambles.	1	9	70% chance of $100 <br> 30% chance of $80,70% chance of $190 <br> 30% chance of $5	1,2
radio	Please indicate your preference between each of the pairs of gambles.	1	10	80% chance of $100 <br> 20% chance of $80,80% chance of $190 <br> 20% chance of $5	1,2
radio	Please indicate your preference between each of the pairs of gambles.	1	11	90% chance of $100 <br> 10% chance of $80,90% chance of $190 <br> 10% chance of $5	1,2
radio	Please indicate your preference between each of the pairs of gambles.	1	12	100% chance of $100 <br> 0% chance of $80,100% chance of $190 <br> 0% chance of $5	1,2
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	13		
