question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1			
instruction	"The following questions ask about how you have been feeling during the PAST TWO WEEKS. For each question, please select the option that best describes how often you had this feeling."	0	2			
instruction	"<h4>Q1: During PAST TWO WEEKS, about how often did you feel … </h4>"	0	3			
radio	… nervous?	1	3	"All of the time, Most of the time, Some of the time, A little of the time, None of the time"	"1,2,3,4,5"	k6_1_bl
radio	… hopeless?	1	3	"All of the time, Most of the time, Some of the time, A little of the time, None of the time"	"1,2,3,4,5"	k6_2_bl
radio	… restless or fidgety?	1	3	"All of the time, Most of the time, Some of the time, A little of the time, None of the time"	"1,2,3,4,5"	k6_3_bl
radio	… so depressed that nothing could cheer you up?	1	3	"All of the time, Most of the time, Some of the time, A little of the time, None of the time"	"1,2,3,4,5"	k6_4_bl
radio	… that everything was an effort?	1	3	"All of the time, Most of the time, Some of the time, A little of the time, None of the time"	"1,2,3,4,5"	k6_5_bl
radio	… worthless?	1	3	"All of the time, Most of the time, Some of the time, A little of the time, None of the time"	"1,2,3,4,5"	k6_6_bl
radio	"Q2: The last six questions asked about feelings that might have occurred during PAST TWO WEEKS. Taking them altogether, did these feelings occur more often in PAST TWO WEEKS than is usual for you, about the same as usual, or less often than usual? (If you never have any of these feelings, select “about the same as usual”) "	1	3	"A lot, Some<br><strong>More often than usual<br>←</strong>, A little, About the same as usual, A little , Some<br><strong>Less often than usual<br>→</strong>, A lot"	"1,2,3,4,5,6,7"	k6_7_bl
instruction	<h4>The next few questions are about how these feelings may have affected you in PAST TWO WEEKS. You need not answer these questions if you answered “None of the time” to all of the six questions about your feelings.</h4>	0	4	k6_8_bl		
numeric	"Q3: During PAST TWO WEEKS, how many days out of 14 were you totally unable to work or carry out your normal activities because of these feelings?<br><br><strong>(Number of Days)</strong>"	0	4			k6_9_bl
numeric	"Q4: Not counting the days you reported in response to Q3, how many days in the PAST TWO WEEKS were you able to do only half or less of what you would normally have been able to do, because of these feelings?<br><br><strong>(Number of Days)</strong>"	0	4			k6_10_bl
numeric	"Q5: During the PAST TWO WEEKS, how many times did you see a doctor or other health professional about these feelings?<br><br><strong>(Number of Times)</strong>"	0	4			k6_11_bl
radio	"Q6: During the PAST TWO WEEKS, how often have physical health problems been the main cause of these feelings? "	0	4	"All of the time, Most of the time, Some of the time, A little of the time, None of the time"	"1,2,3,4,5"	k6_12_bl
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	5			
