question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1			
instruction	"This inventory lists different attitudes or beliefs that people sometimes hold. Read each statement carefully and decide how much you agree or disagree with it.<br><br>
For each of the statements, choose the number matching the answer that <u>best describes how you think</u>. Because people are different, there are no right or wrong answers.<br><br>
To decide whether a given statement is typical of your way of looking at things, simply keep in mind what you are like <u>most of the time</u>."	0	2			
instruction	"In making your ratings, try to avoid the middle point of the scale, but rather indicate whether you usually disagree or agree with the statements about your own beliefs and attitudes."	0	3			
radio	I often think things around me are unsafe.	1	3	"Disagree <br>very much, Disagree <br>moderately, Disagree <br>a little, Neither agree <br>nor disagree, Agree <br>a little, Agree <br>moderately, Agree <br>very much"	"1,2,3,4,5,6,7"	OBQ_01
radio	"If I am not absolutely sure of something, I am bound to make a mistake."	1	3	"Disagree <br>very much, Disagree <br>moderately, Disagree <br>a little, Neither agree <br>nor disagree, Agree <br>a little, Agree <br>moderately, Agree <br>very much"	"1,2,3,4,5,6,7"	OBQ_02
radio	Things should be perfect according to my own standards.	1	3	"Disagree <br>very much, Disagree <br>moderately, Disagree <br>a little, Neither agree <br>nor disagree, Agree <br>a little, Agree <br>moderately, Agree <br>very much"	"1,2,3,4,5,6,7"	OBQ_03
radio	"In order to be a worthwhile person, I must be perfect at everything I do."	1	3	"Disagree <br>very much, Disagree <br>moderately, Disagree <br>a little, Neither agree <br>nor disagree, Agree <br>a little, Agree <br>moderately, Agree <br>very much"	"1,2,3,4,5,6,7"	OBQ_04
radio	"When I see any opportunity to do so, I must act to prevent bad things  from happening."	1	3	"Disagree <br>very much, Disagree <br>moderately, Disagree <br>a little, Neither agree <br>nor disagree, Agree <br>a little, Agree <br>moderately, Agree <br>very much"	"1,2,3,4,5,6,7"	OBQ_05
radio	"Even if harm is very unlikely, I should try to prevent it at any cost."	1	3	"Disagree <br>very much, Disagree <br>moderately, Disagree <br>a little, Neither agree <br>nor disagree, Agree <br>a little, Agree <br>moderately, Agree <br>very much"	"1,2,3,4,5,6,7"	OBQ_06
radio	"For me, having bad urges is as bad as actually carrying them out."	1	3	"Disagree <br>very much, Disagree <br>moderately, Disagree <br>a little, Neither agree <br>nor disagree, Agree <br>a little, Agree <br>moderately, Agree <br>very much"	"1,2,3,4,5,6,7"	OBQ_07
