question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1			
instruction	This scale consists of a number of words and phrases that describe different feelings and emotions. Read each item and then mark the appropriate answer. Indicate to what extent you have felt this way during the <strong>past week</strong>	0	2			
radio	Cheerful	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Disgusted	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Attentive	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Bashful	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Sluggish	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Daring	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Surprised	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Strong	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Scornful	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Relaxed	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Irritable	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Delighted	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Inspired	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Fearless	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Disgusted with self	1	3	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Sad	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Calm	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Afraid	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Tired	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Amazed	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Shaky	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Happy	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Timid	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Alone	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Alert	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Upset	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Angry	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Bold	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Blue	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Shy	1	4	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Active	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Guilty	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Joyful	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Nervous	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Lonely	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Sleepy	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Excited	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Hostile	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Proud	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Jittery	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Lively	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
radio	Ashamed	1	5	"Very slightly or not at all, A little, Moderately, Quite a bit, Extremely"	"1,2,3,4,5"	
