question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1			
instruction	"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks. "	0	2			
radio	I am interested in things.	1	3	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_01
radio	I get things done during the day. 	1	3	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_02
radio	Getting things started on my own is important to me.	1	3	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_03
radio	I am interested in having new experiences.	1	3	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_04
radio	I am interested in learning new things.	1	3	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_05
radio	I put little effort into anything.	1	3	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"4,3,2,1"	AES_06
radio	I approach life with intensity.	1	4	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_07
radio	Seeing a job through to the end is important to me.	1	4	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_08
radio	I spend time doing things that interest me.	1	4	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_09
radio	Someone has to tell me what to do each day.	1	4	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"4,3,2,1"	AES_10
radio	I am less concerned about my problems than I should be.	1	4	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"4,3,2,1"	AES_11
radio	I have friends.	1	4	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_12
radio	Getting together with friends is important to me.	1	5	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_13
radio	"When something good happens, I get excited."	1	5	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_14
radio	I have an accurate understanding of my problems.	1	5	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_15
radio	Getting things done during the day is important to me.	1	5	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_16
radio	I have initiative.	1	5	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_17
radio	I have motivation.	1	5	"Not at all characteristic, Slightly characteristic, Somewhat characteristic, Very characteristic"	"1,2,3,4"	AES_18
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	6			
