question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1			
instruction	"Read each statement carefully and answer two questions about that statement. The first question asks how ANXIOUS or FEARFUL you feel in that situation. The second question asks how often you AVOID that situation. Please base your ratings on the way that the situations have affected you in the LAST WEEK, following the onset of the Coronavirus/COVID-19 crisis in your area."	1	2			
instruction	<h4>Telephoning in public.</h4>	0	3			LSAS_01
radio	Q1: Fear/Anxiety: 	1	3	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	3	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Participating in small groups.</h4>	0	3			LSAS_02
radio	Q1: Fear/Anxiety: 	1	3	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	3	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Eating in public places.</h4>	0	3			LSAS_03
radio	Q1: Fear/Anxiety: 	1	3	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	3	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Drinking with others in public places.</h4>	0	3			LSAS_04
radio	Q1: Fear/Anxiety: 	1	3	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	3	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Talking to people in authority.</h4>	0	4			LSAS_05
radio	Q1: Fear/Anxiety: 	1	4	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	4	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	"<h4>Acting, performing or giving a talk in front of an audience.</h4>"	0	4			LSAS_06
radio	Q1: Fear/Anxiety: 	1	4	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	4	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Going to a party.</h4>	0	4			LSAS_07
radio	Q1: Fear/Anxiety: 	1	4	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	4	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Working while being observed.</h4>	0	4			LSAS_08
radio	Q1: Fear/Anxiety: 	1	4	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	4	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Writing while being observed.</h4>	0	5			LSAS_09
radio	Q1: Fear/Anxiety: 	1	5	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	5	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Calling someone you don't know very well.</h4>	0	5			LSAS_10
radio	Q1: Fear/Anxiety: 	1	5	"None, Mild, Moderate, Severe"	"0,1,2,3"	
