question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please select which of the following statements is more true for you.	0	2		
radio	Please select which of the two statements is more true for you.	1	3	I concentrate all my energy on a few things, I divide my energy among many things	1,0
radio	Please select which of the two statements is more true for you.	1	3	I always focus on the one most important goal at a given time, I am always working on several goals at once	1,0
radio	Please select which of the two statements is more true for you.	1	3	Even when I really consider what I want in life I wait and see what happens instead of committing myself to just one or two particular goals, When I think about what I want in life I commit myself to one or two important goals	0,1
radio	Please select which of the two statements is more true for you.	1	3	Just to achieve a particular goal I am not willing to abandon other ones, To achieve a particular goal I am willing to abandon other goals	0,1
radio	Please select which of the two statements is more true for you.	1	3	"I always pursue goals one after the other,
I always pursue many goals at once so that I easily get bogged down"	1,0
radio	Please select which of the two statements is more true for you.	1	3	"I know exactly what I want and what I do not want,
I often only know what I want as the result of a situation"	1,0
radio	Please select which of the two statements is more true for you.	1	3	When I decide upon a goal I stick to it, I can change a goal again at any time	1,0
radio	Please select which of the two statements is more true for you.	1	3	"I always approach several goals at once, I always direct my attention to my most important goal
"	0,1
radio	Please select which of the two statements is more true for you.	1	3	"I make important life decisions,
I do not like to commit myself to speciﬁc life decisions"	1,0
radio	Please select which of the two statements is more true for you.	1	3	"I consider exactly what is important for me,
I take things as they come and carry on from there"	1,0
radio	Please select which of the two statements is more true for you.	1	3	"I do not have many goals in life that are equally important to me,
I have many goals in life that are equally important to me"	1,0
radio	Please select which of the two statements is more true for you.	1	3	I often adapt my goals to small changes, I have set my goals clearly and stick to them	0,1
radio	Please select which of the two statements is more true for you.	1	4	"When things do not go as well as before I choose one or two important goals,
When things do not go as well as before I still try to keep all my goals"	1,0
radio	Please select which of the two statements is more true for you.	1	4	When I cannot do something important the way I did before I distribute my time and energy among many other things, When I cannot do something important the way I did before I look for a new goal	0,1
radio	Please select which of the two statements is more true for you.	1	4	When I cannot do something as well as I used to I wait and see what comes, When I cannot do something as well as I used to I think about what exactly is important to me	0,1
radio	Please select which of the two statements is more true for you.	1	4	Even if I cannot do something as well as before I pursue all my goals, If I cannot do something as well as before I concentrate only on essentials	0,1
