question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	"For each pair of statements, select which one is more true for you. "	0	2		
instruction	"For each pair of statements, select which one is more true for you. (A) or (B)"	1	3		
radio	(A) I concentrate all my energy on a few things <br> (B) I divide my energy among many things	1	3	"A,B"	"1,0"
radio	(A) I always focus on the one most important goal at a given time <br> (B) I am always working on several goals at once	1	3	"A,B"	"1,0"
radio	(A) Even when I really consider what I want in life I wait and see what happens instead of committing myself to just one or two particular goals <br> (B) When I think about what I want in life I commit myself to one or two important goals	1	3	"A,B"	"0,1"
radio	(A) Just to achieve a particular goal I am not willing to abandon other ones <br> (B) To achieve a particular goal I am willing to abandon other goals	1	3	"A,B"	"0,1"
radio	(A) I always pursue goals one after the other <br> (B) I always pursue many goals at once so that I easily get bogged down	1	3	"A,B"	"1,0"
radio	(A) I know exactly what I want and what I do not want <br> (B) I often only know what I want as the result of a situation	1	3	"A,B"	"1,0"
radio	(A) When I decide upon a goal I stick to it <br> (B) I can change a goal again at any time	1	3	"A,B"	"1,0"
radio	(A) I always approach several goals at once <br> (B) I always direct my attention to my most important goal	1	3	"A,B"	"0,1"
radio	(A) I make important life decisions <br> (B) I do not like to commit myself to speciﬁc life decisions	1	3	"A,B"	"1,0"
radio	(A) I consider exactly what is important for me <br> (B) I take things as they come and carry on from there	1	3	"A,B"	"1,0"
radio	(A) I do not have many goals in life that are equally important to me <br> (B) I have many goals in life that are equally important to me	1	3	"A,B"	"1,0"
radio	(A) I often adapt my goals to small changes <br> (B) I have set my goals clearly and stick to them	1	4	"A,B"	"0,1"
radio	(A) When things do not go as well as before I choose one or two important goals <br> (B) When things do not go as well as before I still try to keep all my goals	1	4	"A,B"	"1,0"
radio	(A) When I cannot do something important the way I did before I distribute my time and energy among many other things <br> (B) When I cannot do something important the way I did before I look for a new goal	1	4	"A,B"	"0,1"
radio	(A) When I cannot do something as well as I used to I wait and see what comes <br> (B) When I cannot do something as well as I used to I think about what exactly is important to me	1	4	"A,B"	"0,1"
radio	(A) Even if I cannot do something as well as before I pursue all my goals <br> (B) If I cannot do something as well as before I concentrate only on essentials	1	4	"A,B"	"0,1"
