question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please indicate which of the following scenarios you would prefer.	0	2		
radio	Please indicate which of the following scenarios you would prefer.	1	3	I like “wild” uninhibited parties, I prefer quiet parties with good conversation	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	There are some movies I enjoy seeing a second or even a third time, I can't stand watching a movie that I've seen before	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I often wish I could be a mountain climber, I can't understand people who risk their necks climbing mountains	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I dislike all body odors,I like some of the earthy body smells	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I get bored seeing the same old faces,I like the comfortable familiarity of everyday friends	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I like to explore a strange city or section of town by myself even if it means getting lost,I prefer a guide when I am in a place I do not know well	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I dislike people who do or say things just to shock or upset others, When you can predict almost everything a person will do and say he or she must be a bore	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I usually don't enjoy a movie or play where I can predict what will happen in advance, I don't mind watching a movie or a play where I can predict what will happen in advance	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I have tried marijuana or would like to, I would like to try some of the new drugs that produce hallucinations	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I would not like to try any drug which might produce strange and dangerous effects on me,I would like to try some of the new drugs that produce hallucinations	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	A sensible person avoids activities that are dangerous, I sometimes like to do things that are a little frightening	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I dislike “swingers” (people who are uninhibited and free about sex), I enjoy the company of real “swingers”	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I find that stimulants make me uncomfortable, I often like to get high (drinking liquor or smoking marijuana)	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I like to try new foods that I have never tasted before, I order the dishes with which I am familiar so as to avoid disappointment and unpleasantness	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I enjoy looking at home movies or travel slides, Looking at someone's home movies or travel slides bores me tremendously	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I would like to take up the sport of water skiing, I would not like to take up water skiing	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I would like to try surf boarding, I would not like to try surf boarding	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I would like to take off on a trip with no preplanned or definite routes or timetable, When I go on a trip I like to plan my route and timetable fairly carefully	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I prefer the “down to earth” kinds of people as friends, I would like to make friends in some of the “far out” groups like artists or “punks”	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I would not like to learn to fly an airplane, I would like to learn to fly an airplane	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I prefer the surface of the water to the depths, I would like to go scuba diving	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I would like to meet some persons who are homosexual (men or women), I stay away from anyone I suspect of being “gay or lesbian”	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I would like to try parachute jumping,I would never want to try jumping out of a plane - with or without a parachute	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I prefer friends who are excitingly unpredictable, I prefer friends who are reliable and predictable	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I am not interested in experience for its own sake, I like to have new and exciting experiences and sensations even if they are a little frightening / unconventional or illegal	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	The essence of good art is in its clarity / symmetry of form and harmony of colors,I often ﬁnd beauty in the clashing colors and irregular forms of modern paintings	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I enjoy spending time in the familiar surroundings of home, I get very restless if I have to stay around home for any length of time	0,1
radio	Please indicate which of the following scenarios you would prefer.	1	3	I like to dive off the high board, I don't like the feeling I get standing on the high board (or I don't go near it at all)	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	I like to date members of the opposite sex who are physically exciting, I like to date members of the opposite sex who share my values	1,0
radio	Please indicate which of the following scenarios you would prefer.	1	3	Heavy drinking usually ruins a party because some people get loud and boisterous, Keeping the drinks full is the key to a good party	0,1
