question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please indicate to what degree you agree with each of the following statements.	0	2		
instruction	I see myself as:	0	3		
radio	Extraverted, enthusiastic	1	3	Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly	1,2,3,4,5,6,7	tipia1_bl
radio	Critical, quarrelsome 	1	3	Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly	7,6,5,4,3,2,1	tipia2_bl
radio	Dependable, self-disciplined	1	3	Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly	1,2,3,4,5,6,7	tipia3_bl
radio	Anxious, easily upset	1	3	Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly	7,6,5,4,3,2,1	tipia4_bl
radio	Open to new experiences, complex	1	3	Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly	1,2,3,4,5,6,7	tipia5_bl
radio	Reserved, quiet	1	3	Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly	7,6,5,4,3,2,1	tipia6_bl
radio	Sympathetic, warm	1	3	Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly	1,2,3,4,5,6,7	tipia7_bl
radio	Disorganized, careless	1	3	Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly	7,6,5,4,3,2,1	tipia8_bl
radio	Calm, emotionally stable	1	3	Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly	1,2,3,4,5,6,7	tipia9_bl
radio	Conventional, uncreative	1	3	Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly	7,6,5,4,3,2,1	tipia10_bl
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	4		
