question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	This questionnaire has been designed to investigate your ideas about willpower. Willpower is what you use to resist temptations, to stick to your intentions, and to remain in strenuous mental activity. There are no right or wrong answers. We are interested in your ideas. Using the scale, please indicate how much you agree or disagree with each of the following statements by selecting the option that corresponds to your opinion below each statement.	0	2		
radio	Strenuous mental activity exhausts your resources, which you need to refuel afterwards (e.g. through taking breaks, doing nothing, watching television, eating snacks).	1	3	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	6,5,4,3,2,1
radio	After a strenuous mental activity, your energy is depleted and you must rest to get it refuelled again.	1	3	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	6,5,4,3,2,1
radio	When you have been working on a strenuous mental task, you feel energized and you are able to immediately start with another demanding activity.	1	3	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	1,2,3,4,5,6
radio	Your mental stamina fuels itself. Even after strenuous mental exertion, you can continue doing more of it.	1	3	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	1,2,3,4,5,6
radio	When you have completed a strenuous mental activity, you cannot start another activity immediately with the same concentration because you have to recover your mental energy again.	1	3	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	6,5,4,3,2,1
radio	After a strenuous mental activity, you feel energized for further challenging activities.	1	3	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	1,2,3,4,5,6
radio	Resisting temptations makes you feel more vulnerable to the next temptations that come along.	1	4	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	6,5,4,3,2,1
radio	When situations accumulate that challenge you with temptations, it gets more and more difficult to resist the temptations.	1	4	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	6,5,4,3,2,1
radio	If you have just resisted a strong temptation, you feel strengthened and you can withstand any new temptations.	1	4	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	1,2,3,4,5,6
radio	It is particularly difficult to resist a temptation after resisting another temptation right before.	1	4	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	6,5,4,3,2,1
radio	Resisting temptations activates your willpower and you become even better able to face new upcoming temptations.	1	4	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	1,2,3,4,5,6
radio	Your capacity to resist temptations is not limited. Even after you have resisted a strong temptation you can control yourself right afterwards.	1	4	Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly disagree	1,2,3,4,5,6
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	5		
