question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1	
instruction	Please answer the following questions about your eating habits.	0	2		
radio	I deliberately take small helpings as a means of controlling my weight.	1	3	Definitely true,Mostly true,Mostly false, Definitely false	4,3,2,1	tfeqcr2_bl
radio	When I feel anxious, I find myself eating.	1	3	Definitely true,Mostly true,Mostly false, Definitely false	4,3,2,1	tfeqee3_bl
radio	When I feel blue, I often overeat.	1	3	Definitely true,Mostly true,Mostly false, Definitely false	4,3,2,1	tfeqee6_bl
radio	When I feel lonely, I console myself by eating.	1	3	Definitely true,Mostly true,Mostly false, Definitely false	4,3,2,1	tfeqee10_bl
radio	I consciously hold back at meals in order not to weight gain.	1	3	Definitely true,Mostly true,Mostly false, Definitely false	4,3,2,1	tfeqcr11_bl
radio	I do not eat some foods because they make me fat.	1	3	Definitely true,Mostly true,Mostly false, Definitely false	4,3,2,1	tfeqcr12_bl
radio	How frequently do you avoid "stocking up" on tempting foods?	1	3	Almost never,Seldom,Usually,Almost always	1,2,3,4	tfeqcr15_bl
radio	How likely are you to consciously eat less than you want?	1	3	Unlikely,Slightly likely,Moderately likely,Very likely	1,2,3,4	tfeqcr16_bl
radio	On a scale of 1 to 8, where 1 means no restraint in eating (eating whatever you want, whenever you want it) and 8 means total restraint (constantly limiting food intake and never "giving in"), what number would you give yourself?	1	3	1,2,3,4,5,6,7,8	1,1,2,2,3,3,4,4	tfeqcr18_bl
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	4
