question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please answer the following questions about your eating habits.	0	2		
radio	When I smell a sizzling steak or juicy piece of meat, I find it very difficult to keep from eating, even if I have just finished a meal.	1	3	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque1_bl
radio	I deliberately take small helpings as a means of controlling my weight.	1	3	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque2_bl
radio	When I feel anxious, I find myself eating.	1	3	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque3_bl
radio	Sometimes when I start eating, I just can’t seem to stop.	1	3	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque4_bl
radio	Being with someone who is eating often makes me hungry enough to eat also.	1	3	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque5_bl
radio	When I feel blue, I often overeat.	1	3	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque6_bl
radio	When I see a real delicacy, I often get so hungry that I have to eat right away.	1	4	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque7_bl
radio	I get so hungry that my stomach often seems like a bottomless pit.	1	4	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque8_bl
radio	I am always hungry so it is hard for me to stop eating before I finish the food on my plate.	1	4	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque9_bl
radio	When I feel lonely, I console myself by eating.	1	4	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque10_bl
radio	I consciously hold back at meals in order not to gain weight.	1	4	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque11_bl
radio	I do not eat some foods because they make me fat.	1	4	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque12_bl
radio	I am always hungry enough to eat at any time.	1	5	Definitely true,Mostly true,Mostly false,Definitely false	4,3,2,1	tfeque13_bl
radio	How often do you feel hungry?	1	5	Only at <br>Meal times,Sometimes <br>between meals,Often between<br> meals,Almost always	1,2,3,4	tfeque14_bl
radio	How frequently do you avoid 'stocking up' on tempting foods?	1	5	Almost never,Seldom,Usually,Almost always	1,2,3,4	tfeque15_bl
radio	How likely are you to consciously eat less than you want?	1	5	Unlikely,Slightly likely,Moderately likely,Very likely	1,2,3,4	tfeque16_bl
radio	Do you go on eating binges though you are not hungry?	1	5	Never,Rarely,Sometimes,At least once a week	1,2,3,4	tfeque17_bl
radio	On a scale of 1 to 8, where 1 means no restraint in eating (eating whatever you want, whenever you want it) and 8 means total restraint (constantly limiting food intake and never 'giving in'), what number would you give yourself?	1	5	1,2,3,4,5,6,7,8	1,1,2,2,3,3,4,4	tfeque18_bl
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	6		
