question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please read each item and answer the following question: “How characteristic or true is this of you?”	0	2		
radio	I believe that getting together with one's friends to party is one of life's important pleasures.	1	3	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	Familiar childhood sights, sounds, smells often bring back a flood of wonderful memories.	1	3	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	Fate determines much in my life.	1	3	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	I often think of what I should have done differently in my life.	1	3	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	My decisions are mostly influenced by people and things around me.	1	3	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	I believe that a person's day should be planned ahead each morning.	1	3	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	It gives me pleasure to think about my past.	1	3	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	I do things impulsively.	1	3	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	If things don't get done on time, I don't worry about it.	1	3	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	5,4,3,2,1
radio	When I want to achieve something, I set goals and consider specific means for reaching those goals.	1	3	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	On balance, there is much more good to recall than bad in my past.	1	4	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	When listening to my favorite music, I often lose all track of time.	1	4	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	Meeting tomorrow's deadlines and doing other necessary work comes before tonight's play.	1	4	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	Since whatever will be will be, it doesn't really matter what I do.	1	4	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	I enjoy stories about how things used to be in the 'good old times.'	1	4	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
radio	Painful past experiences keep being replayed in my mind.	1	4	Very uncharacteristic, Uncharacteristic, Neutral, Characteristic, Very characteristic	1,2,3,4,5
