question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	In the following pages you will be presented with a number of statements that describe ways in which people act and think. For each statement, please indicate how much you agree or disagree with the statement.	0	2		
radio	I have a reserved and cautious attitude toward life.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	I have trouble controlling my impulses.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I generally seek new and exciting experiences and sensations.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I generally like to see things through to the end.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	When I am very happy, I can’t seem to stop myself from doing things that can have bad consequences.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	My thinking is usually careful and purposeful.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	I have trouble resisting my cravings (for food, cigarettes, etc.).	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I'll try anything once.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I tend to give up easily.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	When I am in great mood, I tend to get into situations that could cause me problems.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I am not one of those people who blurt out things without thinking.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	I often get involved in things I later wish I could get out of.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I like sports and games in which you have to choose your next move very quickly.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	Unfinished tasks really bother me.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	When I am very happy, I tend to do things that may cause problems in my life.	1	3	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I like to stop and think things over before I do them.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	When I feel bad, I will often do things I later regret in order to make myself feel better now.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I would enjoy water skiing.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	Once I get going on something I hate to stop.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	I tend to lose control when I am in a great mood.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I don't like to start a project until I know exactly how to proceed.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I quite enjoy taking risks.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I concentrate easily.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	When I am really ecstatic, I tend to get out of control.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I would enjoy parachute jumping.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I finish what I start.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	I tend to value and follow a rational, 'sensible' approach to things.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	When I am upset I often act without thinking.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	Others would say I make bad choices when I am extremely happy about something.	1	4	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I am able to pace myself so as to get things done on time.	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	I usually make up my mind through careful reasoning.	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	When I feel rejected, I will often say things that I later regret. 	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	Others are shocked or worried about the things I do when I am feeling very excited. 	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I would like to learn to fly an airplane. 	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I am a person who always gets the job done. 	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	I am a cautious person. 	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	It is hard for me to resist acting on my feelings. 	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	When I get really happy about something, I tend to do things that can have bad consequences. 	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I sometimes like doing things that are a bit frightening. 	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I almost always finish projects that I start. 	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	Before I get into a new situation I like to find out what to expect from it. 	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	I often make matters worse because I act without thinking when I am upset.	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	When overjoyed, I feel like I can’t stop myself from going overboard.	1	5	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I would enjoy the sensation of skiing very fast down a high mountain slope.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
